barcode,brand,model,size_canonical,manufacturer_part_number,match,found_product,reason,grounded,source_url
4981910526193,toyo,open_country_a_t3,LT265/70R17,355480,yes,Toyo Open Country A/T III LT265/70R17 (Manufacturer Part Number: 355480),The barcode 4981910526193 consistently resolves to the Toyo Open Country A/T III tire with size LT265/70R17 and manufacturer part number 355480 across multiple credible online sources.,True,https://www.tiresandwheels.com/product/tire/EC275052/Toyo/355480/Open-Country-A/T3_4981910526193_LT265+70R17
715459517855,hankook,dynapro_xt_rc10,LT285/75R18,2021381,yes,"Hankook Dynapro XT RC10 LT285/75R18, Manufacturer Part Number: 2021381",The barcode 715459517855 consistently resolves to the Hankook Dynapro XT RC10 tire with the size LT285/75R18 and manufacturer part number 2021381 across multiple credible sources.,True,https://www.tiresandwheels.com/product/tire/EC375949/Hankook/2021381/Dynapro-XT-RC10_715459517855_LT285+75R18
054137069089,pirelli,scorpion_winter,285/40R22,2749200,yes,"Pirelli Scorpion Winter 285/40R22 110W SUV/Crossover Winter BLK Tire, Part Number 2749200","The barcode 054137069089 resolves to a Pirelli Scorpion Winter tire, size 285/40R22, with manufacturer part number 2749200, matching all recorded product data.",True,https://www.tiresandwheels.com/product/tire/EC246995/Pirelli/2749200/Scorpion-Winter_54137069089_285+40R22
054137082163,pirelli,scorpion_zero_all_season,235/55R19,3554800,yes,Pirelli Scorpion Zero All Season 235/55R19,The barcode 054137082163 consistently resolves to Pirelli Scorpion Zero All Season 235/55R19 with manufacturer part number 3554800 across multiple credible sources.,True,https://www.tiresandwheels.com/product/tire/EC394234/Pirelli/3554800/Scorpion-Zero-All-Season_54137082163_235+55R19
848983028495,falken,aklimate,225/50R18,28392586,yes,Falken Aklimate 225/50R18 95V,"The barcode 848983028495 consistently resolves to Falken Aklimate 225/50R18, and the manufacturer part number 28392586 is also associated with this product.",True,https://www.tiresandwheels.com/product/tire/EC462633/Falken/28392586/Aklimate_848983028495_225+50R18
697662129905,goodyear,fortitude_ht,245/70R16,157762620,yes,Goodyear Wrangler Fortitude HT 245/70R16,"The barcode resolves to 'Goodyear Wrangler Fortitude HT 245/70R16' with manufacturer part number 157762620, which matches the recorded product data exactly.",True,https://www.tiresandwheels.com/product/tire/EC158819/Goodyear/157762620/Fortitude-HT_697662129905_245+70R16
051342214297,continental,procontact_tx,245/45R20,15572210000,uncertain,Continental ProContact TX SSR (Runflat) 235/50R18 97H BSW Tire,"The barcode resolves to a Continental ProContact TX, but the manufacturer part number (15494380000) found online does not match the recorded manufacturer part number (15572210000).",True,https://www.tiresandwheels.com/product/tire/EC295460/Continental/15572210000/ProContact-TX_51342214297_245+45R20
715459605385,hankook,winter_ion_icept_suv_iw01a,255/60R19,1034425,yes,Hankook iON i*cept SUV (IW01A) 255/60R19,The barcode 715459605385 consistently resolves to the Hankook iON i*cept SUV (IW01A) with size 255/60R19 and manufacturer part number 1034425 across multiple credible sources.,True,https://www.tiresandwheels.com/product/tire/EC493550/Hankook/1034425/Winter-iON-i*cept-SUV-IW01A_715459605385_255+60R19
054137068761,pirelli,winter_sottozero_series_3,265/40R21,2679500,yes,Pirelli Winter Sottozero 3,"The barcode 054137068761 consistently resolves to the Pirelli Winter Sottozero 3 tire model across multiple credible sources, including Discount Tire and Pirelli's official website.",True,https://www.tiresandwheels.com/product/tire/EC246926/Pirelli/2679500/Winter-SottoZero-Series-3_54137068761_265+40R21
029142992905,cooper,discoverer_stronghold_at,LT245/70R17,170285048,no,Mind Reader Gray Metal Base with Stainless Steel Metal Top Microwave Cart,"The barcode resolves to a microwave cart, not a tire.",True,https://www.tiresandwheels.com/product/tire/EC488713/Cooper/170285048/Discoverer-Stronghold-AT_29142992905_LT245+70R17
054137064114,pirelli,scorpion_verde,275/35R22,2800100,yes,"Pirelli Scorpion Verde 275/35R22, Manufacturer Part Number: 2800100","The barcode 054137064114 consistently resolves to a Pirelli Scorpion Verde tire, size 275/35R22, with manufacturer part number 2800100 across multiple credible online retailers and the official Pirell",True,https://www.tiresandwheels.com/product/tire/EC179750/Pirelli/2800100/Scorpion-Verde_54137064114_275+35R22
054137067023,pirelli,scorpion_atr,P205/80R16,2748300,yes,Pirelli Scorpion ATR P205/80R16,"The barcode is consistently associated with the Pirelli Scorpion ATR tire, size P205/80R16, and manufacturer part number 2748300 across multiple credible sources.",True,https://www.tiresandwheels.com/product/tire/EC246993/Pirelli/2748300/Scorpion-ATR_54137067023_P205+80R16
086699126870,bfgoodrich,advantage_t_a_sport,195/65R15,12687,yes,"BFGoodrich Advantage T/A Sport 195/65R15, Manufacturer Part Number 12687",The barcode resolves to BFGoodrich Advantage T/A Sport 195/65R15 with manufacturer part number 12687 on multiple credible sources.,True,https://www.tiresandwheels.com/product/tire/EC155499/BFGoodrich/12687/Advantage-T/A-Sport_86699126870_195+65R15
086699194633,bfgoodrich,t_a_ko2,LT275/65R18,19463,yes,BFGoodrich All-Terrain T/A KO2 LT275/65R18,"The barcode 086699194633 consistently resolves to the BFGoodrich All-Terrain T/A KO2 tire in size LT275/65R18, with manufacturer part number 19463, across multiple credible sources.",True,https://www.tiresandwheels.com/product/tire/EC158406/BFGoodrich/19463/T/A-KO2_86699194633_LT275+65R18
