"partNumber","description","barcode","chatgptTier","checkDigitValid","prefix","provenance","validation"
"9235030375","Fortune Tormenta LMD FSR-103 BSW for Transit 235/65R16C /E 121/119R","840139636134","-","YES","840139","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree)"
"LG3490","AIRLOC P508 Golf Rib TL 18X8.50-8/B","810000550470","-","YES","810000","external_app_1src","pass (well-formed, not yet in corpus; no reference Airloc prefix on file to cross-check)"
"3263030509","Fortune Tormenta H/T FSR-305 BSW 255/70R17 112T SL","840139636257","-","YES","840139","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree)"
"001733","Bridgestone Dueler H/L Alenza PLUS H/T AS P275/55R20 111H SL","092971261306","-","YES","092971","external_app_1src","pass (well-formed, not yet in corpus; no reference Bridgestone prefix on file to cross-check)"
"9315030641","Fortune Tormenta R/T FSR-309 BSW 37X12.50R20LT/E 126Q","840139634222","-","YES","840139","external_app_1src","pass (well-formed, prefix matches known Fortune 840139; not yet in corpus)"
"354110","Toyo Open Country R/T Trail BSW 35X12.50R20LT/F 125Q","4981910553007","-","YES","4981910","external_app_1src","pass (well-formed, prefix matches known Toyo 4981910; not yet in corpus)"
"9195030375","Fortune Tormenta LMD FSR-103 BSW 195/75R16C/D 107/105R","840139636455","-","YES","840139","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree)"
"9315030041","Fortune Tormenta R/T FSR-309 BSW 33X12.50R22LT/F 114Q","840139634185","-","YES","840139","external_app_1src","pass (well-formed, prefix matches known Fortune 840139; not yet in corpus)"
"NT431360","Nokian ONE BSW 215/50R17 95V XL","6419440423555","-","YES","6419440","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree)"
"3664030504","Fortune Tormenta H/T FSR-305 BSW TL 265/50R20 111T XL","840139632914","-","YES","840139","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree)"
"TH19920","Arisun Aresta ZG02 BSW 275/55R20 117V XL","8859305519920","-","YES","8859305","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree)"
"F-28814210","Falken Sincera ST80 A/S BSW 215/60R16 95V SL","848983012869","-","YES","848983","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree)"
"NX17989","Nexen Roadian HTX2 OWL TL 265/70R16 112T SL","191563014952","-","YES","191563","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree)"
"LG3311","Airloc P332 MT Turf 18X8.50-8/B","810000550135","-","YES","810000","external_app_1src","pass (well-formed, not yet in corpus; no reference Airloc prefix on file to cross-check)"
"LG5082","AIRLOC P332 MT TURF TL 23X10.50-12","686704896622","-","YES","686704","external_app_1src","pass (well-formed, not yet in corpus; no reference Airloc prefix on file to cross-check)"
"K9-11L15-641","K9 I1 Power TL 11l-15 12PR","636313249517","-","YES","636313","external_app_1src","pass (well-formed, not yet in corpus; no reference K9 prefix on file to cross-check)"
"9295030141","Fortune Tormenta R/T FSR-309 BSW LT295/65R20 126Q E","840139634949","-","YES","840139","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree)"
"3239030603","Fortune Perfectus FSR-602 BSW 205/70R16 97H SL","840139632242","-","YES","840139","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree; existing corpus row records manufacturer_part_number as model code FSR602 not a Point S PN, batch5 PN 3239030603 is the correct SKU)"
"9315030533","Fortune Tormenta A/T2 BSW 35x12.50R20LT F 121S","840139634634","-","NO","840139","external_app_1src","FAIL: invalid GS1 check digit (likely single-digit transcription error; nearest valid neighbor 840139634635 NOT auto-substituted - needs re-verification against a physical scan before use)"
"9275030041","Fortune Tormenta R/T FSR-309 BSW LT275/65R20 126Q E","840139634291","-","YES","840139","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree)"
